type,value,comment
ip-dst,65.2.74.7,https://x.com/drb_ra/status/1901344648213217638
ip-dst,15.152.30.143,https://x.com/drb_ra/status/1901344658543849812
ip-dst,20.199.42.42,https://x.com/drb_ra/status/1901344784318685611
ip-dst,92.119.178.42,https://x.com/drb_ra/status/1901344802035077212
ip-dst,198.16.144.195,https://x.com/drb_ra/status/1901344845828177950
ip-dst,147.185.221.26,https://x.com/SarlackLab/status/1901353252907524501
ip-dst,172.235.151.212,https://x.com/drb_ra/status/1901364858580279601
ip-dst,111.231.59.28,https://x.com/drb_ra/status/1901384763988218065
ip-dst,123.249.84.101,https://x.com/drb_ra/status/1901384951880364434
ip-dst,142.4.202.230,https://x.com/drb_ra/status/1901385097158562069
ip-dst,119.91.64.59,https://x.com/drb_ra/status/1901385116145864870
ip-dst,154.223.21.142,https://x.com/drb_ra/status/1901385135263449489
ip-dst,124.221.30.83,https://x.com/drb_ra/status/1901385153470996671
ip-dst,192.253.231.234,https://x.com/drb_ra/status/1901408855877431715
ip-dst,43.159.45.235,https://x.com/drb_ra/status/1901409436519796861
ip-dst,39.102.213.118,https://x.com/drb_ra/status/1901409456962859082
ip-dst,159.203.120.131,https://x.com/drb_ra/status/1901409475711385667
ip-dst,47.103.98.3,https://x.com/drb_ra/status/1901409493596164503
ip-dst,40.81.23.3,https://x.com/drb_ra/status/1901409512960987330
ip-dst,47.242.77.241,https://x.com/drb_ra/status/1901409533047480513
ip-dst,206.119.167.113,https://x.com/drb_ra/status/1901409552727212367
ip-dst,149.130.174.117,https://x.com/romonlyht/status/1901426816356921506
ip-dst,172.67.142.23,https://x.com/romonlyht/status/1901426816356921506
ip-dst,45.192.170.198,https://x.com/harugasumi/status/1901428625553146123
ip-dst,27.124.10.95,https://x.com/harugasumi/status/1901428625553146123
ip-dst,147.185.221.26,https://x.com/SarlackLab/status/1901484028517056709
md5,78b2f046a414e35c3cc3dfb5a4987c27,https://x.com/salmanvsf/status/1901502508465598481
md5,a4f176bcde5fbb44937f09f8b417fd37,https://x.com/salmanvsf/status/1901502508465598481
md5,d66ba247c96ca9511f4bdbeb31cd69b8,https://x.com/salmanvsf/status/1901502508465598481
md5,4efc40f9848dfe6ada88bf307683448a,https://x.com/salmanvsf/status/1901502966898839593
md5,07a4da1e457943479400a0fbeeeaaf64,https://x.com/salmanvsf/status/1901502966898839593
ip-dst,104.21.16.1,https://x.com/Metemcyber/status/1901508052777423156
ip-dst,104.21.48.1,https://x.com/Metemcyber/status/1901508052777423156
ip-dst,104.21.32.1,https://x.com/Metemcyber/status/1901508052777423156
ip-dst,104.21.112.1,https://x.com/Metemcyber/status/1901508052777423156
ip-dst,43.163.231.60,https://x.com/Metemcyber/status/1901509148375765336
ip-dst,43.156.105.79,https://x.com/Metemcyber/status/1901511034155970631
md5,4d3086453c2df08c7b3792b255ccb213,https://x.com/ReBensk/status/1901516559002038608
md5,edbd4967830bdb47e90cb8a5953b6924,https://x.com/ReBensk/status/1901516882278281607
md5,967f4470627f823f4d7981e511c9824f,https://x.com/salmanvsf/status/1901517210260062360
md5,ec6b61542d67b2c00e1f5c17a28d4507,https://x.com/salmanvsf/status/1901517210260062360
ip-dst,176.65.134.142,https://x.com/salmanvsf/status/1901517210260062360
ip-dst,43.135.19.180,https://x.com/Metemcyber/status/1901517224839635265
ip-dst,43.163.103.143,https://x.com/Metemcyber/status/1901518146730680715
ip-dst,107.189.17.168,https://x.com/salmanvsf/status/1901520075565498445
ip-dst,109.206.247.46,https://x.com/Metemcyber/status/1901522378368413934
ip-dst,52.87.98.176,https://x.com/drb_ra/status/1901525328557682845
ip-dst,45.141.86.123,https://x.com/drb_ra/status/1901525485433319441
ip-dst,54.217.2.202,https://x.com/drb_ra/status/1901525699393110483
ip-dst,196.251.69.138,https://x.com/drb_ra/status/1901525864292008425
ip-dst,31.7.60.114,https://x.com/drb_ra/status/1901525879332753548
ip-dst,172.111.187.45,https://x.com/drb_ra/status/1901525880398401777
ip-dst,104.219.236.245,https://x.com/drb_ra/status/1901525896827150825
ip-dst,172.191.35.117,https://x.com/drb_ra/status/1901525915227598987
ip-dst,52.24.182.51,https://x.com/drb_ra/status/1901525933900575102
ip-dst,198.145.69.63,https://x.com/drb_ra/status/1901525952360067572
ip-dst,34.155.142.186,https://x.com/drb_ra/status/1901526471602053442
ip-dst,179.43.176.3,https://x.com/drb_ra/status/1901526506574106804
ip-dst,81.19.139.76,https://x.com/drb_ra/status/1901526522495725818
ip-dst,46.153.249.193,https://x.com/SarlackLab/status/1901536366770446368
sha256,804bde31a6594248f1f77c9241aaf3c2560b673e12fc9f5125c3343cda4557a3,https://x.com/malwrhunterteam/status/1901546379249438857
sha256,67ea47c6846c4bf04b1b48a553a29f41bdcfc101b8f29411590f82c449a07961,https://x.com/salmanvsf/status/1901550024393388245
sha256,fea35de2e90a33641db286c98862e0d6bab27dc46910f36b194eb3985ceae738,https://x.com/malwrhunterteam/status/1901557922875703316
sha256,604688e2dbe4efef309fb48bd6a7ddd6055d7ab981a2be448b5b4dcc2ce1ab44,https://x.com/malwrhunterteam/status/1901560676729938101
sha256,0581b90a1a6a9edfae64c1dd30fe771dab9839b53ed94a769bc518638edd7531,https://x.com/malwrhunterteam/status/1901562974222843956
sha256,ff901988b0c857514da4ab2a13be9eb6aa4d34f7ee74340dab15de81dd709e43,https://x.com/malwrhunterteam/status/1901564592062394685
ip-dst,162.241.211.102,https://x.com/ShanHolo/status/1901567954568765603
ip-dst,89.46.105.26,https://x.com/ShanHolo/status/1901567954568765603
ip-dst,31.11.36.13,https://x.com/ShanHolo/status/1901567956665917651
md5,a2785ec65622217be80174b887b1eb06,https://x.com/ShanHolo/status/1901567954568765603
md5,99c67ce86170a2ba77f879c6a4061ad0,https://x.com/ShanHolo/status/1901567954568765603
md5,6467861415139a1ee35f2b036e57c494,https://x.com/ShanHolo/status/1901567954568765603
sha256,f923d33a841ab30ed66ce4fc07d4841f73560ddc74fc3e5f984dc65b7fac1d25,https://x.com/malwrhunterteam/status/1901571094059843880
sha256,9f49d60adca52f10d3556aba03330ed6fa164206c6cb17891556cc9fc078d6ea,https://x.com/malwrhunterteam/status/1901573963752313278
md5,d6a6fa336e84198957c172563db91a99,https://x.com/suyog41/status/1901575894734663942
md5,c6e93ad79583e0c7796e8fea99b958c8,https://x.com/suyog41/status/1901575894734663942
md5,a3edf61dbaac9ed6e151ad2784957198,https://x.com/suyog41/status/1901575894734663942
md5,dafb39fa74ba7ae55aced72a582b6fef,https://x.com/suyog41/status/1901575894734663942
md5,b1d44d50265a1af8cfa097b4d7a9ff61,https://x.com/suyog41/status/1901575894734663942
ip-dst,193.37.69.162,https://x.com/solostalking/status/1901579492830978553
ip-dst,193.37.69.225,https://x.com/solostalking/status/1901579492830978553
